name,external_id
ATT&CK for ICS,ics-attack
Application Isolation and Sandboxing,M0948
Filter Network Traffic,M0937
Restrict Web-Based Content,M0921
Validate Program Inputs,M0818
Network Segmentation,M0930
Restrict Library Loading,M0944
Active Directory Configuration,M0915
Network Intrusion Prevention,M0931
Restrict Registry Permissions,M0924
Data Loss Prevention,M0803
Access Management,M0801
Mitigation Limited or Not Effective,M0816
Exploit Protection,M0950
Limit Access to Resource Over Network,M0935
Execution Prevention,M0938
Static Network Configuration,M0814
Password Policies,M0927
Privileged Account Management,M0926
Human User Authentication,M0804
SSL/TLS Inspection,M0920
Code Signing,M0945
Software Process and Device Authentication,M0813
Encrypt Network Traffic,M0808
Account Use Policies,M0936
Application Developer Guidance,M0913
Boot Integrity,M0946
Mechanical Protection Layers,M0805
Update Software,M0951
Watchdog Timers,M0815
Operational Information Confidentiality,M0809
Operating System Configuration,M0928
Limit Hardware Installation,M0934
Encrypt Sensitive Information,M0941
Network Allowlists,M0807
Supply Chain Management,M0817
Data Backup,M0953
Out-of-Band Communications Channel,M0810
Audit,M0947
Communication Authenticity,M0802
Disable or Remove Feature or Program,M0942
Threat Intelligence Program,M0919
Safety Instrumented Systems,M0812
User Training,M0917
Multi-factor Authentication,M0932
Vulnerability Scanning,M0916
Authorization Enforcement,M0800
User Account Management,M0918
Redundancy of Service,M0811
Restrict File and Directory Permissions,M0922
Software Configuration,M0954
Antivirus/Antimalware,M0949
Minimize Wireless Signal Propagation,M0806
EKANS,S0605
Backdoor.Oldrea,S0093
Stuxnet,S0603
Bad Rabbit,S0606
PLC-Blaster,S1006
BlackEnergy,S0089
NotPetya,S0368
Conficker,S0608
LockerGoga,S0372
VPNFilter,S1010
Duqu,S0038
Industroyer2,S1072
WannaCry,S0366
Triton,S1009
Ryuk,S0446
ACAD/Medre.A,S1000
REvil,S0496
INCONTROLLER,S1045
KillDisk,S0607
Industroyer,S0604
Flame,S0143
Inhibit Response Function,TA0107
Privilege Escalation,TA0111
Lateral Movement,TA0109
Discovery,TA0102
Initial Access,TA0108
Impact,TA0105
Persistence,TA0110
Execution,TA0104
Command and Control,TA0101
Collection,TA0100
Evasion,TA0103
Impair Process Control,TA0106
Block Command Message,T0803
Service Stop,T0881
Modify Parameter,T0836
Modify Controller Tasking,T0821
Wireless Sniffing,T0887
Loss of View,T0829
Activate Firmware Update Mode,T0800
Manipulation of Control,T0831
Denial of Service,T0814
Block Serial COM,T0805
Command-Line Interface,T0807
Point & Tag Identification,T0861
Device Restart/Shutdown,T0816
User Execution,T0863
Wireless Compromise,T0860
Change Operating Mode,T0858
Alarm Suppression,T0878
Detect Operating Mode,T0868
Loss of Protection,T0837
Monitor Process State,T0801
Scripting,T0853
Remote System Information Discovery,T0888
Program Upload,T0845
Exploit Public-Facing Application,T0819
Data from Information Repositories,T0811
Transient Cyber Asset,T0864
Manipulate I/O Image,T0835
Network Sniffing,T0842
Rootkit,T0851
Automated Collection,T0802
Block Reporting Message,T0804
Unauthorized Command Message,T0855
Data Destruction,T0809
Manipulation of View,T0832
Indicator Removal on Host,T0872
I/O Image,T0877
Denial of View,T0815
Execution through API,T0871
Supply Chain Compromise,T0862
Loss of Safety,T0880
Loss of Productivity and Revenue,T0828
Spearphishing Attachment,T0865
Drive-by Compromise,T0817
Damage to Property,T0879
Spoof Reporting Message,T0856
Exploitation of Remote Services,T0866
Default Credentials,T0812
External Remote Services,T0822
Brute Force I/O,T0806
Adversary-in-the-Middle,T0830
Exploitation for Evasion,T0820
Loss of Control,T0827
Hooking,T0874
Graphical User Interface,T0823
Rogue Master,T0848
Native API,T0834
Loss of Availability,T0826
Theft of Operational Information,T0882
System Firmware,T0857
Masquerading,T0849
Program Download,T0843
Replication Through Removable Media,T0847
Screen Capture,T0852
Hardcoded Credentials,T0891
Valid Accounts,T0859
Exploitation for Privilege Escalation,T0890
Remote System Discovery,T0846
Connection Proxy,T0884
Standard Application Layer Protocol,T0869
Remote Services,T0886
Denial of Control,T0813
Modify Alarm Settings,T0838
Commonly Used Port,T0885
Project File Infection,T0873
Network Connection Enumeration,T0840
Lateral Tool Transfer,T0867
Module Firmware,T0839
Internet Accessible Device,T0883
Data from Local System,T0893
Change Credential,T0892
Modify Program,T0889
Application Server,A0008
2015 Ukraine Electric Power Attack,C0028
Workstation,A0001
Intelligent Electronic Device (IED),A0005
Routers,A0014
Data Gateway,A0009
Human-Machine Interface (HMI),A0002
Dragonfly,G0035
HEXANE,G1001
Data Historian,A0006
Remote Terminal Unit (RTU),A0004
Safety Controller,A0010
Jump Host,A0012
Programmable Logic Controller (PLC),A0003
Field I/O,A0013
APT33,G0064
Control Server,A0007
ALLANITE,G1000
Virtual Private Network (VPN) Server,A0011
Sandworm Team,G0034
2016 Ukraine Electric Power Attack,C0025
Maroochy Water Breach,C0020
Dragonfly 2.0,G0074
Lazarus Group,G0032
Oldsmar Treatment Plant Intrusion,C0009
OilRig,G0049
FIN7,G0046
Wizard Spider,G0102
TEMP.Veles,G0088
FIN6,G0037
GOLD SOUTHFIELD,G0115
APT38,G0082
Application Log,DS0015
User Account,DS0002
Network Share,DS0033
File,DS0022
Process,DS0009
Service,DS0019
Operational Databases,DS0040
Network Traffic,DS0029
Command,DS0017
Scheduled Job,DS0003
Asset,DS0039
Windows Registry,DS0024
Module,DS0011
Logon Session,DS0028
Drive,DS0016
Script,DS0012
Firmware,DS0001
APT34,G0057
