value,alias
Sensitive Cookie Without 'HttpOnly' Flag,CWE-1004
Insufficient Visual Distinction of Homoglyphs Presented to User,CWE-1007
Struts: Duplicate Validation Forms,CWE-102
Improper Restriction of Rendered UI Layers or Frames,CWE-1021
Use of Web Link to Untrusted Target with window.opener Access,CWE-1022
Incomplete Comparison with Missing Factors,CWE-1023
Comparison of Incompatible Types,CWE-1024
Comparison Using Wrong Factors,CWE-1025
Struts: Incomplete validate() Method Definition,CWE-103
Processor Optimization Removal or Modification of Security-critical Code,CWE-1037
Insecure Automated Optimizations,CWE-1038
Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations,CWE-1039
Struts: Form Bean Does Not Extend Validation Class,CWE-104
Use of Redundant Code,CWE-1041
Static Member Data Element outside of a Singleton Class Element,CWE-1042
Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,CWE-1043
Architecture with Number of Horizontal Layers Outside of Expected Range,CWE-1044
Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,CWE-1045
Creation of Immutable Text Using String Concatenation,CWE-1046
Modules with Circular Dependencies,CWE-1047
Invokable Control Element with Large Number of Outward Calls,CWE-1048
Excessive Data Query Operations in a Large Data Table,CWE-1049
Struts: Form Field Without Validator,CWE-105
Excessive Platform Resource Consumption within a Loop,CWE-1050
Initialization with Hard-Coded Network Resource Configuration Data,CWE-1051
Excessive Use of Hard-Coded Literals in Initialization,CWE-1052
Missing Documentation for Design,CWE-1053
Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,CWE-1054
Multiple Inheritance from Concrete Classes,CWE-1055
Invokable Control Element with Variadic Parameters,CWE-1056
Data Access Operations Outside of Expected Data Manager Component,CWE-1057
Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,CWE-1058
Insufficient Technical Documentation,CWE-1059
Struts: Plug-in Framework not in Use,CWE-106
Excessive Number of Inefficient Server-Side Data Accesses,CWE-1060
Insufficient Encapsulation,CWE-1061
Parent Class with References to Child Class,CWE-1062
Creation of Class Instance within a Static Code Block,CWE-1063
Invokable Control Element with Signature Containing an Excessive Number of Parameters,CWE-1064
Runtime Resource Management Control Element in a Component Built to Run on Application Servers,CWE-1065
Missing Serialization Control Element,CWE-1066
Excessive Execution of Sequential Searches of Data Resource,CWE-1067
Inconsistency Between Implementation and Documented Design,CWE-1068
Empty Exception Block,CWE-1069
Struts: Unused Validation Form,CWE-107
Serializable Data Element Containing non-Serializable Item Elements,CWE-1070
Empty Code Block,CWE-1071
Data Resource Access without Use of Connection Pooling,CWE-1072
Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,CWE-1073
Class with Excessively Deep Inheritance,CWE-1074
Unconditional Control Flow Transfer outside of Switch Block,CWE-1075
Insufficient Adherence to Expected Conventions,CWE-1076
Floating Point Comparison with Incorrect Operator,CWE-1077
Inappropriate Source Code Style or Formatting,CWE-1078
Parent Class without Virtual Destructor Method,CWE-1079
Struts: Unvalidated Action Form,CWE-108
Source Code File with Excessive Number of Lines of Code,CWE-1080
Class Instance Self Destruction Control Element,CWE-1082
Data Access from Outside Expected Data Manager Component,CWE-1083
Invokable Control Element with Excessive File or Data Access Operations,CWE-1084
Invokable Control Element with Excessive Volume of Commented-out Code,CWE-1085
Class with Excessive Number of Child Classes,CWE-1086
Class with Virtual Method without a Virtual Destructor,CWE-1087
Synchronous Access of Remote Resource without Timeout,CWE-1088
Large Data Table with Excessive Number of Indices,CWE-1089
Struts: Validator Turned Off,CWE-109
Method Containing Access of a Member Element from Another Class,CWE-1090
Use of Object without Invoking Destructor Method,CWE-1091
Use of Same Invokable Control Element in Multiple Architectural Layers,CWE-1092
Excessively Complex Data Representation,CWE-1093
Excessive Index Range Scan for a Data Resource,CWE-1094
Loop Condition Value Update within the Loop,CWE-1095
Singleton Class Instance Creation without Proper Locking or Synchronization,CWE-1096
Persistent Storable Data Element without Associated Comparison Control Element,CWE-1097
Data Element containing Pointer Item without Proper Copy Control Element,CWE-1098
Inconsistent Naming Conventions for Identifiers,CWE-1099
ASP.NET Misconfiguration: Creating Debug Binary,CWE-11
Struts: Validator Without Form Field,CWE-110
Insufficient Isolation of System-Dependent Functions,CWE-1100
Reliance on Runtime Component in Generated Code,CWE-1101
Reliance on Machine-Dependent Data Representation,CWE-1102
Use of Platform-Dependent Third Party Components,CWE-1103
Use of Unmaintained Third Party Components,CWE-1104
Insufficient Encapsulation of Machine-Dependent Functionality,CWE-1105
Insufficient Use of Symbolic Constants,CWE-1106
Insufficient Isolation of Symbolic Constant Definitions,CWE-1107
Excessive Reliance on Global Variables,CWE-1108
Use of Same Variable for Multiple Purposes,CWE-1109
Direct Use of Unsafe JNI,CWE-111
Incomplete Design Documentation,CWE-1110
Incomplete I/O Documentation,CWE-1111
Incomplete Documentation of Program Execution,CWE-1112
Inappropriate Comment Style,CWE-1113
Inappropriate Whitespace Style,CWE-1114
Source Code Element without Standard Prologue,CWE-1115
Inaccurate Comments,CWE-1116
Callable with Insufficient Behavioral Summary,CWE-1117
Insufficient Documentation of Error Handling Techniques,CWE-1118
Excessive Use of Unconditional Branching,CWE-1119
Missing XML Validation,CWE-112
Excessive Code Complexity,CWE-1120
