name,external_id
Frankenstein,C0001
Night Dragon,C0002
CostaRicto,C0004
Operation Spalax,C0005
Operation Honeybee,C0006
FunnyDream,C0007
C0010,C0010
C0011,C0011
Operation CuckooBees,C0012
Operation Sharpshooter,C0013
Operation Wocao,C0014
C0015,C0015
Operation Dust Storm,C0016
C0017,C0017
C0018,C0018
C0021,C0021
Operation Dream Job,C0022
Operation Ghost,C0023
SolarWinds Compromise,C0024
2016 Ukraine Electric Power Attack,C0025
C0026,C0026
C0027,C0027
2015 Ukraine Electric Power Attack,C0028
Cutting Edge,C0029
Triton Safety Instrumented System Attack,C0030
C0032,C0032
C0033,C0033
2022 Ukraine Electric Power Attack,C0034
Firmware,DS0001
User Account,DS0002
Scheduled Job,DS0003
Malware Repository,DS0004
WMI,DS0005
Web Credential,DS0006
Image,DS0007
Kernel,DS0008
Process,DS0009
Cloud Storage,DS0010
Module,DS0011
Script,DS0012
Sensor Health,DS0013
Pod,DS0014
Application Log,DS0015
Drive,DS0016
Command,DS0017
Firewall,DS0018
Service,DS0019
Snapshot,DS0020
Persona,DS0021
File,DS0022
Named Pipe,DS0023
Windows Registry,DS0024
Cloud Service,DS0025
Active Directory,DS0026
Driver,DS0027
Logon Session,DS0028
Network Traffic,DS0029
Instance,DS0030
Cluster,DS0031
Container,DS0032
Network Share,DS0033
Volume,DS0034
Internet Scan,DS0035
Group,DS0036
Certificate,DS0037
Domain Name,DS0038
Axiom,G0001
Moafee,G0002
Cleaver,G0003
Ke3chang,G0004
APT12,G0005
APT1,G0006
APT28,G0007
Carbanak,G0008
Deep Panda,G0009
Turla,G0010
PittyTiger,G0011
Darkhotel,G0012
APT30,G0013
Night Dragon,G0014
Taidoor,G0015
APT29,G0016
DragonOK,G0017
admin@338,G0018
Naikon,G0019
Equation,G0020
Molerats,G0021
APT3,G0022
APT16,G0023
Putter Panda,G0024
APT17,G0025
APT18,G0026
Threat Group-3390,G0027
Threat Group-1314,G0028
Scarlet Mimic,G0029
Lotus Blossom,G0030
Dust Storm,G0031
Lazarus Group,G0032
Poseidon Group,G0033
Sandworm Team,G0034
Dragonfly,G0035
GCMAN,G0036
FIN6,G0037
Stealth Falcon,G0038
Suckfly,G0039
Patchwork,G0040
Strider,G0041
MONSOON,G0042
Group5,G0043
Winnti Group,G0044
menuPass,G0045
FIN7,G0046
Gamaredon Group,G0047
RTM,G0048
OilRig,G0049
APT32,G0050
FIN10,G0051
CopyKittens,G0052
FIN5,G0053
Sowbug,G0054
NEODYMIUM,G0055
PROMETHIUM,G0056
APT34,G0057
Charming Kitten,G0058
Charming Kitten,G0058
Magic Hound,G0059
BRONZE BUTLER,G0060
FIN8,G0061
TA459,G0062
BlackOasis,G0063
APT33,G0064
Leviathan,G0065
Elderwood,G0066
APT37,G0067
PLATINUM,G0068
MuddyWater,G0069
Dark Caracal,G0070
Orangeworm,G0071
Honeybee,G0072
APT19,G0073
Dragonfly 2.0,G0074
Rancor,G0075
Thrip,G0076
Leafminer,G0077
Gorgon Group,G0078
DarkHydrus,G0079
Cobalt Group,G0080
Tropic Trooper,G0081
APT38,G0082
SilverTerrier,G0083
Gallmaker,G0084
FIN4,G0085
Stolen Pencil,G0086
APT39,G0087
TEMP.Veles,G0088
The White Company,G0089
WIRTE,G0090
Silence,G0091
TA505,G0092
GALLIUM,G0093
Kimsuky,G0094
Machete,G0095
APT41,G0096
Bouncing Golf,G0097
BlackTech,G0098
APT-C-36,G0099
Inception,G0100
Frankenstein,G0101
Wizard Spider,G0102
Mofang,G0103
Sharpshooter,G0104
DarkVishnya,G0105
Rocke,G0106
Whitefly,G0107
Blue Mockingbird,G0108
Windshift,G0112
Chimera,G0114
GOLD SOUTHFIELD,G0115
Operation Wocao,G0116
Fox Kitten,G0117
UNC2452,G0118
Indrik Spider,G0119
Evilnum,G0120
Sidewinder,G0121
Silent Librarian,G0122
Volatile Cedar,G0123
Windigo,G0124
HAFNIUM,G0125
Higaisa,G0126
TA551,G0127
ZIRCONIUM,G0128
Mustang Panda,G0129
Ajax Security Team,G0130
Tonto Team,G0131
CostaRicto,G0132
Nomadic Octopus,G0133
Transparent Tribe,G0134
BackdoorDiplomacy,G0135
IndigoZebra,G0136
Ferocious Kitten,G0137
Andariel,G0138
TeamTNT,G0139
LazyScripter,G0140
Gelsemium,G0141
Confucius,G0142
Aquatic Panda,G0143
HEXANE,G1001
BITTER,G1002
Ember Bear,G1003
LAPSUS$,G1004
POLONIUM,G1005
Earth Lusca,G1006
Aoqin Dragon,G1007
SideCopy,G1008
Moses Staff,G1009
EXOTIC LILY,G1011
CURIUM,G1012
Metador,G1013
LuminousMoth,G1014
Scattered Spider,G1015
FIN13,G1016
Volt Typhoon,G1017
TA2541,G1018
MoustachedBouncer,G1019
Mustard Tempest,G1020
Cinnamon Tempest,G1021
ToddyCat,G1022
APT5,G1023
Akira,G1024
Malteiro,G1026
APT-C-23,G1028
Application Developer Guidance,M1013
Active Directory Configuration,M1015
Vulnerability Scanning,M1016
User Training,M1017
User Account Management,M1018
Threat Intelligence Program,M1019
SSL/TLS Inspection,M1020
Restrict Web-Based Content,M1021
Restrict File and Directory Permissions,M1022
Restrict Registry Permissions,M1024
Privileged Process Integrity,M1025
Privileged Account Management,M1026
Password Policies,M1027
Operating System Configuration,M1028
Remote Data Storage,M1029
Network Segmentation,M1030
Network Intrusion Prevention,M1031
Multi-factor Authentication,M1032
Limit Software Installation,M1033
Limit Hardware Installation,M1034
Limit Access to Resource Over Network,M1035
Account Use Policies,M1036
Filter Network Traffic,M1037
Execution Prevention,M1038
Environment Variable Permissions,M1039
Behavior Prevention on Endpoint,M1040
Encrypt Sensitive Information,M1041
Disable or Remove Feature or Program,M1042
Credential Access Protection,M1043
Restrict Library Loading,M1044
Code Signing,M1045
Boot Integrity,M1046
Audit,M1047
Application Isolation and Sandboxing,M1048
Antivirus/Antimalware,M1049
Exploit Protection,M1050
Update Software,M1051
User Account Control,M1052
Data Backup,M1053
Software Configuration,M1054
Do Not Mitigate,M1055
Pre-compromise,M1056
Data Loss Prevention,M1057
Trojan.Mebromi,S0001
Mimikatz,S0002
RIPTIDE,S0003
TinyZBot,S0004
WCE,S0005
Windows Credential Editor,S0005
pwdump,S0006
Skeleton Key,S0007
gsecdump,S0008
Hikit,S0009
Lurid,S0010
Enfal,S0010
Taidoor,S0011
Poison Ivy,S0012
Darkmoon,S0012
PoisonIvy,S0012
Breut,S0012
Kaba,S0013
Thoper,S0013
DestroyRAT,S0013
PlugX,S0013
TVT,S0013
Sogu,S0013
Korplug,S0013
BS2005,S0014
Ixeshe,S0015
P2P ZeuS,S0016
Peer-to-Peer ZeuS,S0016
Gameover ZeuS,S0016
BISCUIT,S0017
Sykipot,S0018
Regin,S0019
China Chopper,S0020
Derusbi,S0021
PHOTO,S0021
Uroburos,S0022
Snake,S0022
X-Agent,S0023
webhp,S0023
Backdoor.SofacyX,S0023
CHOPSTICK,S0023
Xagent,S0023
SPLM,S0023
Dyreza,S0024
Dyre,S0024
Dyzap,S0024
CALENDAR,S0025
GLOOXMAIL,S0026
Trojan.GTALK,S0026
Zeroaccess,S0027
SHIPSHAPE,S0028
PsExec,S0029
Anunak,S0030
Carbanak,S0030
BACKSPACE,S0031
Lecna,S0031
gh0st RAT,S0032
Mydoor,S0032
Moudoor,S0032
NetTraveler,S0033
NETEAGLE,S0034
SPACESHIP,S0035
FLASHFLOOD,S0036
HAMMERTOSS,S0037
HammerDuke,S0037
