name,external_id
Operation Dust Storm,C0016
C0033,C0033
Process,DS0009
Sensor Health,DS0013
Command,DS0017
Network Traffic,DS0029
Application Vetting,DS0041
User Interface,DS0042
APT28,G0007
Sandworm Team,G0034
PROMETHIUM,G0056
Dark Caracal,G0070
Bouncing Golf,G0097
Windshift,G0112
Confucius,G0142
BITTER,G1002
Earth Lusca,G1006
Scattered Spider,G1015
MoustachedBouncer,G1019
APT-C-23,G1028
UNC788,G1029
Security Updates,M1001
Attestation,M1002
Lock Bootloader,M1003
System Partition Integrity,M1004
Application Vetting,M1005
Use Recent OS Version,M1006
Caution with Device Administrator Access,M1007
Use Device-Provided Credential Storage,M1008
Encrypt Network Traffic,M1009
Deploy Compromised Device Detection Method,M1010
User Guidance,M1011
Enterprise Policy,M1012
Application Developer Guidance,M1013
Interconnection Filtering,M1014
Antivirus/Antimalware,M1058
Do Not Mitigate,M1059
FinSpy,S0182
FinFisher,S0182
OldBoot,S0285
OBAD,S0286
ZergHelper,S0287
KeyRaider,S0288
Pegasus for iOS,S0289
Ghost Push,S0290
Gooligan,S0290
PJApps,S0291
AndroRAT,S0292
BrainTest,S0293
ShiftyBug,S0294
RCSAndroid,S0295
XcodeGhost,S0297
Xbot,S0298
NotCompatible,S0299
DressCode,S0300
Dendroid,S0301
Twitoor,S0302
MazarBOT,S0303
Android/Chuli.A,S0304
SpyNote RAT,S0305
Trojan-SMS.AndroidOS.FakeInst.a,S0306
Trojan-SMS.AndroidOS.Agent.ao,S0307
Trojan-SMS.AndroidOS.OpFake.a,S0308
Adups,S0309
ANDROIDOS_ANSERVER.A,S0310
YiSpecter,S0311
WireLurker,S0312
RuMMS,S0313
X-Agent for Android,S0314
DualToy,S0315
Chrysaor,S0316
Pegasus for Android,S0316
Marcher,S0317
XLoader for Android,S0318
Allwinner,S0319
DroidJack,S0320
HummingWhale,S0321
HummingBad,S0322
Charger,S0323
SpyDealer,S0324
Judy,S0325
RedDrop,S0326
Skygofree,S0327
Stealth Mango,S0328
Tangelo,S0329
Pallas,S0399
