name,external_id
Accessing Functionality Not Properly Constrained by ACLs,CAPEC-1
Buffer Overflow via Environment Variables,CAPEC-10
Overflow Buffers,CAPEC-100
Server Side Include (SSI) Injection,CAPEC-101
Session Sidejacking,CAPEC-102
Clickjacking,CAPEC-103
Cross Zone Scripting,CAPEC-104
HTTP Request Splitting,CAPEC-105
DEPRECATED: XSS through Log Files,CAPEC-106
Cross Site Tracing,CAPEC-107
Command Line Execution through SQL Injection,CAPEC-108
Object Relational Mapping Injection,CAPEC-109
Cause Web Server Misclassification,CAPEC-11
SQL Injection through SOAP Parameter Tampering,CAPEC-110
JSON Hijacking (aka JavaScript Hijacking),CAPEC-111
Brute Force,CAPEC-112
Interface Manipulation,CAPEC-113
Authentication Abuse,CAPEC-114
Authentication Bypass,CAPEC-115
Excavation,CAPEC-116
Interception,CAPEC-117
Choosing Message Identifier,CAPEC-12
Double Encoding,CAPEC-120
Exploit Non-Production Interfaces,CAPEC-121
Privilege Abuse,CAPEC-122
Buffer Manipulation,CAPEC-123
Shared Resource Manipulation,CAPEC-124
Flooding,CAPEC-125
Path Traversal,CAPEC-126
Directory Indexing,CAPEC-127
Integer Attacks,CAPEC-128
Pointer Manipulation,CAPEC-129
Subverting Environment Variable Values,CAPEC-13
Excessive Allocation,CAPEC-130
Resource Leak Exposure,CAPEC-131
Symlink Attack,CAPEC-132
Try All Common Switches,CAPEC-133
Email Injection,CAPEC-134
Format String Injection,CAPEC-135
LDAP Injection,CAPEC-136
Parameter Injection,CAPEC-137
Reflection Injection,CAPEC-138
Relative Path Traversal,CAPEC-139
Client-side Injection-induced Buffer Overflow,CAPEC-14
Bypassing of Intermediate Forms in Multiple-Form Sets,CAPEC-140
Cache Poisoning,CAPEC-141
DNS Cache Poisoning,CAPEC-142
Detect Unpublicized Web Pages,CAPEC-143
Detect Unpublicized Web Services,CAPEC-144
Checksum Spoofing,CAPEC-145
XML Schema Poisoning,CAPEC-146
XML Ping of the Death,CAPEC-147
Content Spoofing,CAPEC-148
Explore for Predictable Temporary File Names,CAPEC-149
Command Delimiters,CAPEC-15
Collect Data from Common Resource Locations,CAPEC-150
Identity Spoofing,CAPEC-151
Input Data Manipulation,CAPEC-153
Resource Location Spoofing,CAPEC-154
Screen Temporary Files for Sensitive Information,CAPEC-155
Sniffing Attacks,CAPEC-157
Sniffing Network Traffic,CAPEC-158
