Extension,MimeType
.123,application/vnd.lotus-1-2-3
.3dml,text/vnd.in3d.3dml
.3g2,video/3gpp2
.avif,image/avif
.avifs,image/avif
.kra,application/x-krita
.krz,application/x-krita
.heif,image/heic
.heic,image/heic
.3gp,video/3gpp
.3g2,audio/3gpp2
.7z,application/x-7z-compressed
.a,application/octet-stream
.bin,application/octet-stream
.bpk,application/octet-stream
.deploy,application/octet-stream
.dist,application/octet-stream
.distz,application/octet-stream
.dmg,application/octet-stream
.dms,application/octet-stream
.dump,application/octet-stream
.elc,application/octet-stream
.lha,application/octet-stream
.lrf,application/octet-stream
.lzh,application/octet-stream
.o,application/octet-stream
.obj,application/octet-stream
.pkg,application/octet-stream
.so,application/octet-stream
.aab,application/x-authorware-bin
.u32,application/x-authorware-bin
.vox,application/x-authorware-bin
.x32,application/x-authorware-bin
.icns,image/x-icns
.mp4,audio/mp4
.m4a,audio/mp4
.m4b,audio/mp4
.m4p,audio/mp4
.m4r,audio/mp4
.m4v,audio/mp4
.mp4v,audio/mp4
.3gp,audio/mp4
.3g2,audio/mp4
.3ga,audio/mp4
.3gpa,audio/mp4
.3gpp,audio/mp4
.3gpp2,audio/mp4
.3gp2,audio/mp4
.aac,audio/aac
.m4a,audio/aac
.aacp,audio/aacp
.aam,application/x-authorware-map
.aas,application/x-authorware-seg
.abw,application/x-abiword
.zabw,application/x-abiword
.abw.gz,application/x-abiword
.acc,application/vnd.americandynamics.acc
.ace,application/x-ace-compressed
.acu,application/vnd.acucobol
.acutc,application/vnd.acucorp
.atc,application/vnd.acucorp
.adp,audio/adpcm
.aep,application/vnd.audiograph
.afm,application/x-font-type1
.pfa,application/x-font-type1
.pfb,application/x-font-type1
.pfm,application/x-font-type1
.afp,application/vnd.ibm.modcap
.list3820,application/vnd.ibm.modcap
.listafp,application/vnd.ibm.modcap
.ai,application/postscript
.eps,application/postscript
.ps,application/postscript
.air,application/vnd.adobe.air-application-installer-package+zip
.ami,application/vnd.amiga.ami
.apk,application/vnd.android.package-archive
.application,application/x-ms-application
.apr,application/vnd.lotus-approach
.asc,application/pgp-signature
.sig,application/pgp-signature
.asf,video/x-ms-asf
.asx,video/x-ms-asf
.asm,text/x-asm
.s,text/x-asm
.aso,application/vnd.accpac.simply.aso
.atom,application/atom+xml
.atomcat,application/atomcat+xml
.atomsvc,application/atomsvc+xml
.atx,application/vnd.antix.game-component
.au,audio/basic
.snd,audio/basic
.avi,video/x-msvideo
.aw,application/applixware
.azf,application/vnd.airzip.filesecure.azf
.azs,application/vnd.airzip.filesecure.azs
.azw,application/vnd.amazon.ebook
.bat,application/x-msdownload
.com,application/x-msdownload
.dll,application/x-msdownload
.exe,application/x-msdownload
.msi,application/x-msdownload
.bcpio,application/x-bcpio
.bdf,application/x-font-bdf
.bdm,application/vnd.syncml.dm+wbxml
.bh2,application/vnd.fujitsu.oasysprs
.bmi,application/vnd.bmi
.bmp,image/bmp
.book,application/vnd.framemaker
.fm,application/vnd.framemaker
.frame,application/vnd.framemaker
.maker,application/vnd.framemaker
.box,application/vnd.previewsystems.box
.boz,application/x-bzip2
.bz2,application/x-bzip2
.btif,image/prs.btif
.bz,application/x-bzip
.c,text/x-c
.cc,text/x-c
.cpp,text/x-c
.cxx,text/x-c
.dic,text/x-c
.h,text/x-c
.hh,text/x-c
.c4d,application/vnd.clonk.c4group
.c4f,application/vnd.clonk.c4group
.c4g,application/vnd.clonk.c4group
.c4p,application/vnd.clonk.c4group
.c4u,application/vnd.clonk.c4group
.cab,application/vnd.ms-cab-compressed
.car,application/vnd.curl.car
.cat,application/vnd.ms-pki.seccat
.cct,application/x-director
.cst,application/x-director
.cxt,application/x-director
.dcr,application/x-director
.dir,application/x-director
.dxr,application/x-director
.fgd,application/x-director
.swa,application/x-director
.w3d,application/x-director
.ccxml,application/ccxml+xml
